"REF_DATE","GEO","DGUID","Income concept","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.265","A","","","3"
"2021","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.266","B","","","3"
"2022","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.275","A","","","3"
"2023","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.275","A","","","3"
"2008","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.293","B","","","3"
"2009","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.286","A","","","3"
"2010","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.286","A","","","3"
"2011","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.291","A","","","3"
"2012","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.296","B","","","3"
"2013","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.291","A","","","3"
"2014","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.280","B","","","3"
"2015","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.284","B","","","3"
"2016","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.283","A","","","3"
"2017","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.287","A","","","3"
"2018","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.283","A","","","3"
"2019","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.282","A","","","3"
"2020","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.261","A","","","3"
"2021","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.264","A","","","3"
"2022","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.270","A","","","3"
"2023","Quebec","2021A000224","Adjusted after-tax income","Number","223","units","0","v96439656","7.3","0.272","A","","","3"
"2008","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.319","B","","","3"
"2009","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.319","A","","","3"
"2010","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.320","A","","","3"
"2011","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.311","A","","","3"
"2012","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.321","A","","","3"
"2013","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.327","A","","","3"
"2014","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.315","B","","","3"
"2015","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.317","A","","","3"
"2016","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.318","A","","","3"
"2017","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.321","A","","","3"
"2018","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.313","B","","","3"
"2019","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.304","A","","","3"
"2020","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.290","A","","","3"
"2021","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.296","A","","","3"
"2022","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.313","A","","","3"
"2023","Ontario","2021A000235","Adjusted after-tax income","Number","223","units","0","v96439659","8.3","0.311","A","","","3"
"2008","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.305","B","","","3"
"2009","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.293","B","","","3"
"2010","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.296","B","","","3"
"2011","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.292","B","","","3"
"2012","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.297","B","","","3"
"2013","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.294","B","","","3"
"2014","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.297","B","","","3"
"2015","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.300","B","","","3"
"2016","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.289","B","","","3"
"2017","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.304","B","","","3"
"2018","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.291","B","","","3"
"2019","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.290","A","","","3"
"2020","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.269","A","","","3"
"2021","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.278","A","","","3"
"2022","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.279","A","","","3"
"2023","Manitoba","2021A000246","Adjusted after-tax income","Number","223","units","0","v96439665","10.3","0.280","A","","","3"
"2008","Saskatchewan","2021A000247","Adjusted after-tax income","Number","223","units","0","v96439668","11.3","0.308","A","","","3"
