"REF_DATE","GEO","DGUID","Index","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","96.5","","","","1"
"2015","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","97.5","","","","1"
"2016","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","98.0","","","","1"
"2017","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","100.0","","","","1"
"2018","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","100.8","","","","1"
"2019","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","102.6","","","","1"
"2020","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","106.0","","","","1"
"2021","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","107.0","","","","1"
"2022","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","113.1","","","","1"
"2023","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","117.4","","","","1"
"2008","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","81.3","","","","1"
"2009","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","82.5","","","","1"
"2010","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","83.5","","","","1"
"2011","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","86.8","","","","1"
"2012","Quebec","2016A000224","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789328","6.1.9","88.7","","","","1"
