"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","6.4","","","","1"
"2024","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","6.5","","","","1"
"2008","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","8.7","","","","1"
"2009","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","9.0","","","","1"
"2010","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","9.4","","","","1"
"2011","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","9.6","","","","1"
"2012","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","10.5","","","","1"
"2013","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","10.4","","","","1"
"2014","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","10.1","","","","1"
"2015","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","10.1","","","","1"
"2016","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","9.7","","","","1"
"2017","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","8.3","","","","1"
"2018","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","8.1","","","","1"
"2019","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","8.2","","","","1"
"2020","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","10.4","","","","1"
"2021","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","9.3","","","","1"
"2022","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","7.2","","","","1"
"2023","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","6.6","","","","1"
"2024","New Brunswick","2021A000213","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544972","5.8.1.1","7.0","","","","1"
"2008","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","7.4","","","","1"
"2009","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","8.8","","","","1"
"2010","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","8.2","","","","1"
"2011","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","8.0","","","","1"
"2012","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","7.9","","","","1"
"2013","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063545764","6.8.1.1","7.8","","","","1"
