"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","970146","","","","0"
"2022","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","1061714","","","","0"
"2023","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","1119545","","","","0"
"2008","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","52207","","","","0"
"2009","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","50853","","","","0"
"2010","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","53359","","","","0"
"2011","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","56252","","","","0"
"2012","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","59848","","","","0"
"2013","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","62386","","","","0"
"2014","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","64305","","","","0"
"2015","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","65943","","","","0"
"2016","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","67298","","","","0"
"2017","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","71285","","","","0"
"2018","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","73372","","","","0"
"2019","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","74626","","","","0"
"2020","Manitoba","2016A000246","Gross domestic product at market prices","Dollars","81","millions","6","v62783317","8.14","72963","","","","0"
